ASIN;SKU;OTTOKOD;DETAY;DESİ-KG;;INVOICE ÜRÜN BEDELİ;US FEDEX KARGO ÜCRETİ;FEDEX İŞLEM ÜCRETİ;DUTY OTAN;DUTY;VERGİ ORANI;VERGİ
B0DG94LPN8;MG-Fujifilm-X-T50-Black;5105-Siyah;Fujifilm X-T50 - Dip Açılır;0,5;;3,30;9,27;1,12;4,5;0,15;15,0;0,49
B0DHLC6CNF;MG-Half-Fujifilm-X-T50-Brown;5106-Kahverengi;Fujifilm X-T50 - Dip;0,5;;3,30;9,27;1,12;4,5;0,15;15,0;0,49
B0DHLCDPYH;MG-Half-Fujifilm-X-T50-Black;5106-Siyah;Fujifilm X-T50 - Dip;0,5;;3,30;9,27;1,12;4,5;0,15;15,0;0,49
B076BMB3DM;Remote-Holder-White;6001-Beyaz;Kumandalık Otto-Suni Deri;0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B0744NRKGL;Remote-Holder-DarkBrown;6001-Kahverengi;Kumandalık Otto-Suni Deri;0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B076BPVHT4;Remote-Holder-Red;6001-Kırmızı;Kumandalık Otto-Suni Deri;0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B0744NCJYK;Remote-Holder-Black;6001-Siyah;Kumandalık Otto-Suni Deri;0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B076BZKLTK;Remote-Holder-LightBrown;6001-Taba;Kumandalık Otto-Suni Deri;0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B0783RL961;Remote-Holder-Gen-Brown;6002-Taba;Kumandalık Otto-Rustik Döşemelik;0,5;;3,30;9,27;1,12;20;0,66;15,0;0,50
B0783QDCLH;Remote-Holder-Gen-Green;6002-Yeşil;Kumandalık Otto-Rustik Döşemelik;0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B0793QM24T;Remote-Organizer-White;6003-Beyaz;Büyük Kumandalık;1,5;;2,75;9,81;1,12;20;0,55;15,0;0,41
B0793Q78Z2;Remote-Organizer-D.Brown;6003-Kahverengi;Büyük Kumandalık;1,5;;2,75;9,81;1,12;20;0,55;15,0;0,41
B0793PXQ6W;Remote-Organizer-Red;6003-Kırmızı;Büyük Kumandalık;1,5;;2,75;9,81;1,12;20;0,55;15,0;0,41
B0793RD5NH;Remote-Organizer-Black;6003-Siyah;Büyük Kumandalık;1,5;;2,75;9,81;1,12;20;0,55;15,0;0,41
B0793QWYPJ;Remote-Organizer-L.Brown;6003-Taba;Büyük Kumandalık;1,5;;2,75;9,81;1,12;20;0,55;15,0;0,41
B0BXY92492;OT-PUKeychain-Gray;6004-Gri;Kemer Suni Anahtarlık;0,5;;1,00;9,27;1,12;0;0,00;15,0;0,15
B0BXY3K3NK;OT-PUKeychain-Brown;6004-Kahverengi;Kemer Suni Anahtarlık;0,5;;1,00;9,27;1,12;0;0,00;15,0;0,15
B0BXY9248Y;OT-PUKeychain-Red;6004-Kırmızı;Kemer Suni Anahtarlık;0,5;;1,00;9,27;1,12;0;0,00;15,0;0,15
B0BXY5BLMC;OT-PUKeychain-Black;6004-Siyah;Kemer Suni Anahtarlık;0,5;;1,00;9,27;1,12;0;0,00;15,0;0,15
B0BXY598VW;OT-PUKeychain-LightBrown;6004-Taba;Kemer Suni Anahtarlık;0,5;;1,00;9,27;1,12;0;0,00;15,0;0,15
B079L5TQC5;OT-Passport-Wallet2-Purple;6005-Mor;Pasaportluk-Flotter ÜRETİLMEYECEK;0,5;;4,61;9,27;1,12;4,5;0,21;15,0;0,69
B079L71DVN;OT-Passport-Wallet2-Pink;6005-Pembe;Pasaportluk-Flotter ÜRETİLMEYECEK;0,5;;2,09;9,27;1,12;4,5;0,09;15,0;0,31
B079L69L7G;OT-Passport-Wallet2-Black;6006-Siyah;Pasaportluk-Rustik ÜRETİLMEYECEK;0,5;;2,09;9,27;1,12;4,5;0,09;15,0;0,31
B079L5R9FL;OT-Passport-Wallet2-L.Brown;6006-Taba;Pasaportluk-Rustik ÜRETİLMEYECEK;0,5;;2,09;9,27;1,12;4,5;0,09;15,0;0,31
B0779GJNGH;WAL-Passport-Wallet-Purple;6007-Mor;Biletli Pasaportluk;0,5;;4,23;9,27;1,12;4,5;0,19;15,0;0,64
B0779FCDYS;WAL-Passport-Wallet-Pink;6007-Pembe;Biletli Pasaportluk;0,5;;4,23;9,27;1,12;4,5;0,19;15,0;0,64
B0779Z8KX6;ZSTK-TextileStrap-PinkCheckerboard;6010-Dama;Tekstil Kemer-Dama;0,5;;1,00;9,27;1,12;0;0,00;15,0;0,15
B077G9W5SY;ZSTK-TextileStrap-Ethnic;6011-Ethnic;Tekstil Kemer Ethnic-Flotter;0,5;;1,00;9,27;1,12;0;0,00;15,0;0,15
B079YM1B66;MG-B-LetWristStrap-D.Brown;6013-Kahverengi;Bilek Strap;0,5;;1,82;9,27;1,12;0;0,00;15,0;0,27
B079YPX31Q;MG-B-LetWristStrap-Black;6013-Siyah;Bilek Strap;0,5;;1,82;9,27;1,12;0;0,00;15,0;0,27
B07T7K243M;OT-LeatherTrayOrganizer-White;6015-Beyaz;Organizer-Suni Deri (iç astar beyaz);0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B07BZQMJRH;OT-LeatherTrayOrganizer-DarkBrown;6015-Kahverengi;Organizer-Suni Deri (iç astar kızıl);0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B07BZP4R3W;OT-LeatherTrayOrganizer-Red;6015-Kırmızı;Organizer-Suni Deri (iç astar beyaz);0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B07BZHJL83;OT-LeatherTrayOrganizer-Black;6015-Siyah;Organizer-Suni Deri (iç astar beyaz);0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B07BZMPQQH;OT-LeatherTrayOrganizer-LightBrown;6015-Taba;Organizer-Suni Deri (iç astar kızıl);0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B07D9G1ZPV;OT-PassportPU-Wallet-Dark Brown;6018-Kahverengi;Pasaportluk-Suni Deri;0,5;;2,09;9,27;1,12;4,5;0,09;15,0;0,31
B07D9HHCRG;OT-PassportPU-Wallet-Red;6018-Kırmızı;Pasaportluk-Suni Deri;0,5;;2,09;9,27;1,12;4,5;0,09;15,0;0,31
B07D9G3WKL;OT-PassportPU-Wallet-Black;6018-Siyah;Pasaportluk-Suni Deri;0,5;;2,09;9,27;1,12;4,5;0,09;15,0;0,31
B07D9G78FB;OT-PassportPU-Wallet-Light Brown;6018-Taba;Pasaportluk-Suni Deri;0,5;;2,09;9,27;1,12;4,5;0,09;15,0;0,31
B07T6HCJDC;OT-Mousepad-PU-White;6020-Beyaz;Mouse Pad Suni Deri;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B07GDNVNC3;OT-Mousepad-PU-Dark Brown;6020-Kahverengi;Mouse Pad-Suni Deri;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B07GDMN1K8;OT-Mousepad-PU-Black;6020-Siyah;Mouse Pad-Suni Deri (Kirmizi dikişli);0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B07GDNX69N;OT-Mousepad-PU-Light Brown;6020-Taba;Mouse Pad-Suni Deri;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B08G3V3RZL;OT-OvalMousepad-PU-White;6021-Beyaz;Mose Pad Oval;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
